no.,nama produk,merk,terjual,reviews,bintang,marketplace,link,harga,deskripsi produk
114,energy serum,ms glow for men,"10,000++","6,400",4.9,shopee,https://s.shopee.co.id/3qEWTCbHBW,"Rp99,900","membantu merawat kulit berjerawat, menyamarkan kerutan, mencerahkan kulit dan mengangkat sel-sel kulit mati,"
115,energy bright cream,ms glow for men,"10,000++","4,700",4.9,shopee,https://s.shopee.co.id/7V7opyiZqS,"Rp89,900","MS Glow for Men Energy Bright Cream membantu melembabkan, mencerahkan, dan melembutkan kulit, MS Glow For Men Energy Bright Cream juga memberikan tone up 1 tingkat pada wajah."
116,ultra bright facial wash,ms glow for men,"8,000++","3,300",4.9,shopee,https://s.shopee.co.id/7V7oq3Bxuo,"Rp45,000","membersihkan wajah dari debu, kotoran, dan polusi tanpa membuat kulit kering."
117,acnotion facial wash,ms glow for men,"4,000++","1,800",4.9,shopee,https://s.shopee.co.id/Vy4VFWb9s,"Rp44,900","ampuh membersihkan kotoran, keringat, dan minyak berlebih setelah sesi olahraga, tetapi juga menjaga kulit tetap tenang dan bebas jerawat."
118,dual cream,ms glow for men,"2,000++","1,200",4.9,shopee,https://s.shopee.co.id/8zwccbSy3m,"Rp59,900","terdiri dari sunscreen SPF 50++++ yang berfungsi untuk melindungi kulit dari pengaruh buruk sinar matahari UVA dan UVB di pagi dan sore hari, serta Brightening Moisturizer yang berfungsi untuk melembabkan kulit wajah."
119,hydra boost facial wash,ms glow for men,"1,000++",481,4.9,shopee,https://s.shopee.co.id/8fJmEPSKLu,"Rp44,900",mengangkat sel-sel kulit mati sekaligus memberikan kelembapan dan hidrasi intens untuk menjaga kulit tetap segar dan sehat.
120,hydra expert serum,ms glow for men,285,103,4.9,shopee,https://s.shopee.co.id/11nuQjPm5,"Rp54,900","serum dengan kandungan Hyaluronic Acid, Panthenol, dan Ceramide Complex yang membantu menghidrasi kulit sehingga dapat menjaga kelembapan pada kulit wajah dan membantu kulit wajah tampak lebih cerah."
121,sunscreen spray ,ms glow for men,"4,000++","2,000",4.9,shopee,https://s.shopee.co.id/2Vj8szRhRY,"Rp99,900",membantu melindungi kulit wajah dari Sinar UV A dan UV B serta radikal bebas lainnya
122,Hanasui men bright actove serum,hanasui,"10,000++","1,947",4.9,tokopedia,https://tk.tokopedia.com/ZSUuWGbdR/,"Rp26,227",cocok digunakan bagi mereka yang sering melakukan aktivitas diluar rumah dan terpapar langsung oleh polusi udara maupun sinar matahari
123,maskulin,ms glow for men,750+,114,4.9,tokopedia,https://tk.tokopedia.com/ZSUuWKCux/,"Rp68,000","body lotion yang ringan dan cepat meresap yang diperkaya dengan kandungan Alpha-Arbutin, Niacinamide, Licorice Extract dan Alovera Extract"
